project_id,smell_id,smell_type,refactoring_type,alignment_confidence
apache-tika,SMELL_4435928f,Cyclic Dependency,Extract Interface,0.8
apache-tika,SMELL_4435928f,Cyclic Dependency,Move Class,0.8
apache-struts,SMELL_9b506e00,Cyclic Dependency,Extract Interface,0.8
apache-struts,SMELL_9b506e00,Cyclic Dependency,Move Class,0.8
apache-lucene,SMELL_996b0128,Cyclic Dependency,Dependency Inversion,0.6
apache-lucene,SMELL_996b0128,Cyclic Dependency,Extract Interface,0.6
apache-lucene,SMELL_6d7423e3,Cyclic Dependency,Dependency Inversion,0.6
apache-lucene,SMELL_6d7423e3,Cyclic Dependency,Extract Interface,0.6
apache-lucene,SMELL_ff4861d2,Cyclic Dependency,Dependency Inversion,0.6
apache-lucene,SMELL_ff4861d2,Cyclic Dependency,Extract Interface,0.6
apache-lucene,SMELL_29558fbf,Cyclic Dependency,Dependency Inversion,0.6
apache-lucene,SMELL_29558fbf,Cyclic Dependency,Extract Interface,0.6
apache-lucene,SMELL_19e3e906,Cyclic Dependency,Dependency Inversion,0.6
apache-lucene,SMELL_19e3e906,Cyclic Dependency,Extract Interface,0.6
apache-lucene,SMELL_ad4d1250,Cyclic Dependency,Dependency Inversion,0.6
apache-lucene,SMELL_ad4d1250,Cyclic Dependency,Extract Interface,0.6
apache-lucene,SMELL_b4d6dd58,Cyclic Dependency,Dependency Inversion,0.6
apache-lucene,SMELL_b4d6dd58,Cyclic Dependency,Extract Interface,0.6
apache-lucene,SMELL_92298fff,Cyclic Dependency,Dependency Inversion,0.6
apache-lucene,SMELL_92298fff,Cyclic Dependency,Extract Interface,0.6
apache-lucene,SMELL_2ca07cda,Cyclic Dependency,Dependency Inversion,0.6
apache-lucene,SMELL_2ca07cda,Cyclic Dependency,Extract Interface,0.6
apache-lucene,SMELL_59891992,Cyclic Dependency,Dependency Inversion,0.6
apache-lucene,SMELL_59891992,Cyclic Dependency,Extract Interface,0.6
apache-lucene,SMELL_52bf0913,Cyclic Dependency,Dependency Inversion,0.6
apache-lucene,SMELL_52bf0913,Cyclic Dependency,Extract Interface,0.6
apache-lucene,SMELL_7612acb8,Cyclic Dependency,Dependency Inversion,0.6
