Project,Package,Smell,Description
tika,org.apache.tika.example,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 54
tika,org.apache.tika.example,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DumpTikaConfigExampleTest; DumpTikaConfigExample]; [TranslatorExampleTest; TranslatorExample]; [LanguageDetectorExampleTest; LanguageDetectorExample]; [ContentHandlerExampleTest; ContentHandlerExample]; [TextStatsFromTikaEvalTest; TextStatsFromTikaEval]; [SimpleTypeDetectorTest; SimpleTypeDetector]; [AdvancedTypeDetectorTest; AdvancedTypeDetector]; [TestParsingExample; ParsingExample; ExtractEmbeddedFiles; ExtractEmbeddedFilesTest]; [SimpleTextExtractorTest; SimpleTextExtractor]; [TrecDocumentGenerator]; [TrecDocumentGenerator.TrecDocument]; [InterruptableParsingExample]; [InterruptableParsingExample.QueryMatchedException]; [InterruptableParsingExample.InterruptingContentHandler]; [ImportContextImpl]; [PrescriptionParser]; [SpringExample]; [LuceneIndexerExtended; LuceneIndexer]; [PickBestTextEncodingParser]; [PickBestTextEncodingParser.CharsetContentHandlerFactory]; [PickBestTextEncodingParser.CharsetTester]; [TranscribeTranslateExample]; [StandardsExtractionExample]; [MediaTypeExample]; [ZipListFiles]; [DisplayMetInstance]; [DirListParser]; [RollbackSoftware]; [RollbackSoftware.DeploymentAreaParser]; [MyFirstTika]; [RecentFiles]; [TIAParsingExample]; [ExtractEmbeddedFiles.MyEmbeddedDocumentExtractor]; [CustomMimeInfo]; [EncryptedPrescriptionParser; Pharmacy; EncryptedPrescriptionDetector]; [GrabPhoneNumbersExample]; [MetadataAwareLuceneIndexer]; [Language]; [DescribeMetadata]; [LanguageDetectingParser]. LCC (Lack of Component Cohesion) = 0.74
tika,org.apache.tika.example,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.metadata; org.apache.tika.
tika,org.apache.tika.example,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.langdetect.optimaize; org.apache.tika.language.detect.
tika,org.apache.tika.example,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.mime; org.apache.tika.metadata.
