Project,Package,Class,Smell,Description,File
tika,org.apache.tika.example,DumpTikaConfigExampleTest,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: CompositeParser; CompositeDetector in method testDump,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/DumpTikaConfigExampleTest.java
tika,org.apache.tika.example,ContentHandlerExampleTest,Feature Envy,The tool detected a instance of this smell because testParseToPlainTextChunks is more interested in members of the type: ContentHandlerExample,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/ContentHandlerExampleTest.java
tika,org.apache.tika.example,TrecDocumentGenerator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/TrecDocumentGenerator.java
tika,org.apache.tika.example,TrecDocumentGenerator.TrecDocument,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: docname; body; date,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/TrecDocumentGenerator.java
tika,org.apache.tika.example,TrecDocumentGenerator.TrecDocument,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/TrecDocumentGenerator.java
tika,org.apache.tika.example,InterruptableParsingExample,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/InterruptableParsingExample.java
tika,org.apache.tika.example,InterruptableParsingExample.QueryMatchedException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/InterruptableParsingExample.java
tika,org.apache.tika.example,InterruptableParsingExample.QueryMatchedException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/InterruptableParsingExample.java
tika,org.apache.tika.example,InterruptableParsingExample.InterruptingContentHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: query; sb,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/InterruptableParsingExample.java
tika,org.apache.tika.example,InterruptableParsingExample.InterruptingContentHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/InterruptableParsingExample.java
tika,org.apache.tika.example,ImportContextImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/ImportContextImpl.java
tika,org.apache.tika.example,PrescriptionParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/PrescriptionParser.java
tika,org.apache.tika.example,SpringExample,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/SpringExample.java
tika,org.apache.tika.example,LuceneIndexerExtended,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/LuceneIndexerExtended.java
tika,org.apache.tika.example,PickBestTextEncodingParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/PickBestTextEncodingParser.java
tika,org.apache.tika.example,PickBestTextEncodingParser.CharsetContentHandlerFactory,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: index; handler,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/PickBestTextEncodingParser.java
tika,org.apache.tika.example,PickBestTextEncodingParser.CharsetContentHandlerFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/PickBestTextEncodingParser.java
tika,org.apache.tika.example,PickBestTextEncodingParser.CharsetTester,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: index; pickedCharset; charsetText,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/PickBestTextEncodingParser.java
