Project,Package,Class,Method,Smell,Description,Method start line no,File
tika,org.apache.tika.example,DumpTikaConfigExampleTest,testDump,Magic Number,The method contains a magic number: 130,67,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/DumpTikaConfigExampleTest.java
tika,org.apache.tika.example,DumpTikaConfigExampleTest,testDump,Magic Number,The method contains a magic number: 3,67,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/DumpTikaConfigExampleTest.java
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseToPlainTextChunks,Magic Number,The method contains a magic number: 3,95,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/ContentHandlerExampleTest.java
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseToPlainTextChunks,Magic Number,The method contains a magic number: 2,95,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/ContentHandlerExampleTest.java
tika,org.apache.tika.example,TextStatsFromTikaEvalTest,testOOV,Magic Number,The method contains a magic number: 0.25,25,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/TextStatsFromTikaEvalTest.java
tika,org.apache.tika.example,TextStatsFromTikaEvalTest,testOOV,Magic Number,The method contains a magic number: 0.01,25,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/TextStatsFromTikaEvalTest.java
tika,org.apache.tika.example,TestParsingExample,testRecursiveParserWrapperExample,Magic Number,The method contains a magic number: 12,77,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/TestParsingExample.java
tika,org.apache.tika.example,TestParsingExample,testRecursiveParserWrapperExample,Magic Number,The method contains a magic number: 6,77,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/TestParsingExample.java
tika,org.apache.tika.example,TestParsingExample,testSerializedRecursiveParserWrapperExample,Magic Number,The method contains a magic number: 12,88,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/TestParsingExample.java
tika,org.apache.tika.example,SimpleTextExtractorTest,testSimpleTextExtractor,Long Statement,The length of the statement "String message="This is Tika - Hello` World! This is simple UTF-8 text" + " content written in English to test autodetection of" + " the character encoding of the input stream.";" is 178.,35,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/SimpleTextExtractorTest.java
tika,org.apache.tika.example,ExtractEmbeddedFilesTest,testExtractEmbeddedFiles,Magic Number,The method contains a magic number: 2,54,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/ExtractEmbeddedFilesTest.java
tika,org.apache.tika.example,ParsingExample,extractEmbeddedDocumentsExample,Long Statement,The length of the statement "try (TikaInputStream stream=TikaInputStream.get(ParsingExample.class.getResourceAsStream("test_recursive_embedded.docx"))){" is 123.,200,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/ParsingExample.java
tika,org.apache.tika.example,ImportContextImpl,ImportContextImpl,Long Parameter List,The method has 6 parameters. ,54,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/ImportContextImpl.java
tika,org.apache.tika.example,ImportContextImpl,getInputStream,Empty catch clause,The method has an empty catch block.,112,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/ImportContextImpl.java
tika,org.apache.tika.example,SpringExample,main,Long Statement,The length of the statement "parser.parse(new ByteArrayInputStream("Hello` World!".getBytes(UTF_8))`new WriteOutContentHandler(new OutputStreamWriter(System.out`UTF_8))`new Metadata()`new ParseContext());" is 175.,33,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/SpringExample.java
tika,org.apache.tika.example,PickBestTextEncodingParser,parserCompleted,Complex Conditional,The conditional expression (c >= 'a' && c <= 'z') || (c >= 'A' && c <= 'Z') || (c >= '0' && c <= '9') is complex.,96,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/PickBestTextEncodingParser.java
tika,org.apache.tika.example,PickBestTextEncodingParser,parserCompleted,Long Parameter List,The method has 5 parameters. ,96,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/PickBestTextEncodingParser.java
tika,org.apache.tika.example,DumpTikaConfigExample,main,Complex Method,Cyclomatic complexity of the method is 9,43,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/DumpTikaConfigExample.java
tika,org.apache.tika.example,StandardsExtractionExample,processFolder,Empty catch clause,The method has an empty catch block.,69,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/StandardsExtractionExample.java
tika,org.apache.tika.example,StandardsExtractionExample,process,Magic Number,The method contains a magic number: 0.75,95,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/StandardsExtractionExample.java
tika,org.apache.tika.example,DirListParser,parse,Long Statement,The length of the statement "this.addMetadata(metadata`filePermissions`numHardLinks`fileOwner`fileOwnerGroup`fileSize`lastModDate.toString()`fileName.toString());" is 133.,86,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/DirListParser.java
