Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
tika,org.apache.tika.example,DumpTikaConfigExampleTest,setUp,8,1,0,46,0,,
tika,org.apache.tika.example,DumpTikaConfigExampleTest,tearDown,8,3,0,57,0,,
tika,org.apache.tika.example,DumpTikaConfigExampleTest,testDump,20,3,0,67,1,org.apache.tika.parser.CompositeParser,org.apache.tika.parser.CompositeParser; org.apache.tika.detect.CompositeDetector
tika,org.apache.tika.example,TranslatorExampleTest,setUp,3,1,0,29,0,,
tika,org.apache.tika.example,TranslatorExampleTest,testMicrosoftTranslateToFrench,8,2,0,34,1,,
tika,org.apache.tika.example,LanguageDetectorExampleTest,setUp,3,1,0,29,0,,
tika,org.apache.tika.example,LanguageDetectorExampleTest,testDetectLanguage,4,1,0,34,1,,
tika,org.apache.tika.example,ContentHandlerExampleTest,setUp,3,1,0,36,0,,
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseToPlainText,4,1,0,41,1,,
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseToHTML,9,1,0,49,1,,
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseBodyToHTML,9,1,0,63,1,,
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseOnePartToHTML,12,1,0,77,1,,
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseToPlainTextChunks,13,2,0,95,1,,
tika,org.apache.tika.example,TextStatsFromTikaEvalTest,testOOV,5,1,0,25,1,,
tika,org.apache.tika.example,SimpleTypeDetectorTest,testSimpleTypeDetector,8,1,0,31,1,,
tika,org.apache.tika.example,AdvancedTypeDetectorTest,testDetectWithCustomConfig,3,1,0,26,1,,
tika,org.apache.tika.example,TestParsingExample,setUp,3,1,0,38,0,,
tika,org.apache.tika.example,TestParsingExample,testParseToStringExample,4,1,0,43,1,,
tika,org.apache.tika.example,TestParsingExample,testParseExample,4,1,0,51,1,,
tika,org.apache.tika.example,TestParsingExample,testNoEmbeddedExample,7,1,0,59,1,,
tika,org.apache.tika.example,TestParsingExample,testRecursiveParseExample,7,1,0,68,1,,
tika,org.apache.tika.example,TestParsingExample,testRecursiveParserWrapperExample,7,1,0,77,1,org.apache.tika.metadata.Metadata,org.apache.tika.metadata.Metadata
tika,org.apache.tika.example,TestParsingExample,testSerializedRecursiveParserWrapperExample,6,1,0,88,1,org.apache.tika.serialization.JsonMetadataList,org.apache.tika.serialization.JsonMetadataList
tika,org.apache.tika.example,SimpleTextExtractorTest,testSimpleTextExtractor,12,1,0,35,1,,
tika,org.apache.tika.example,ExtractEmbeddedFilesTest,setUp,4,1,0,36,0,,
tika,org.apache.tika.example,ExtractEmbeddedFilesTest,tearDown,8,2,0,42,0,,
