Project,Package,Class,Smell,Description,File
tika,org.apache.tika.example,TextStatsFromTikaEval,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.eval.core.textstats.CompositeTextStatsCalculator,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/TextStatsFromTikaEval.java
tika,org.apache.tika.example,ParsingExample,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.Tika; org.apache.tika.sax.RecursiveParserWrapperHandler,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/ParsingExample.java
tika,org.apache.tika.example,ParsingExample,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/ParsingExample.java
tika,org.apache.tika.example,TrecDocumentGenerator,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.Tika; org.apache.tika.metadata.Metadata,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/TrecDocumentGenerator.java
tika,org.apache.tika.example,InterruptableParsingExample,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.Tika,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/InterruptableParsingExample.java
tika,org.apache.tika.example,ImportContextImpl,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.metadata.Metadata,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/ImportContextImpl.java
tika,org.apache.tika.example,TranscribeTranslateExample,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.language.translate.Translator,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/TranscribeTranslateExample.java
tika,org.apache.tika.example,StandardsExtractionExample,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.sax.StandardsExtractingContentHandler,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/StandardsExtractionExample.java
tika,org.apache.tika.example,DirListParser,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.metadata.Metadata,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/DirListParser.java
tika,org.apache.tika.example,DirListParser,Law of Demeter violation,The tool detected the smell in this method (parse) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.io.TikaInputStream.getFile; org.apache.tika.io.TikaInputStream.get,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/DirListParser.java
tika,org.apache.tika.example,RollbackSoftware,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.sax.LinkContentHandler,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/RollbackSoftware.java
tika,org.apache.tika.example,MyFirstTika,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.metadata.Metadata; org.apache.tika.langdetect.optimaize.OptimaizeLangDetector; org.apache.tika.language.detect.LanguageDetector; org.apache.tika.language.detect.LanguageResult,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/MyFirstTika.java
tika,org.apache.tika.example,MyFirstTika,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/MyFirstTika.java
tika,org.apache.tika.example,TIAParsingExample,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.metadata.Metadata; org.apache.tika.parser.CompositeParser,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/TIAParsingExample.java
tika,org.apache.tika.example,TIAParsingExample,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/TIAParsingExample.java
tika,org.apache.tika.example,LanguageDetectorExample,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.langdetect.optimaize.OptimaizeLangDetector; org.apache.tika.language.detect.LanguageDetector,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/LanguageDetectorExample.java
tika,org.apache.tika.example,ExtractEmbeddedFiles,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/ExtractEmbeddedFiles.java
tika,org.apache.tika.example,ContentHandlerExample,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.sax.xpath.XPathParser; org.apache.tika.sax.ContentHandlerDecorator,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/ContentHandlerExample.java
tika,org.apache.tika.example,ContentHandlerExample,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/ContentHandlerExample.java
tika,org.apache.tika.example,MetadataAwareLuceneIndexer,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.metadata.Metadata,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/MetadataAwareLuceneIndexer.java
tika,org.apache.tika.example,Language,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.language.detect.LanguageWriter; org.apache.tika.language.detect.LanguageHandler; org.apache.tika.langdetect.optimaize.OptimaizeLangDetector; org.apache.tika.language.detect.LanguageDetector,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/Language.java
tika,org.apache.tika.example,TranslatorExample,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.language.translate.impl.MicrosoftTranslator,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/TranslatorExample.java
tika,org.apache.tika.example,LanguageDetectingParser,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.language.detect.LanguageHandler,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/LanguageDetectingParser.java
tika,org.apache.tika.parser.jdbc,AbstractDBParser,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.sax.XHTMLContentHandler,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-jdbc-commons/src/main/java/org/apache/tika/parser/jdbc/AbstractDBParser.java
tika,org.apache.tika.parser.jdbc,JDBCTableReader,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.metadata.Metadata,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-jdbc-commons/src/main/java/org/apache/tika/parser/jdbc/JDBCTableReader.java
tika,org.apache.tika.parser.jdbc,JDBCTableReader,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-jdbc-commons/src/main/java/org/apache/tika/parser/jdbc/JDBCTableReader.java
tika,org.apache.tika.parser.pdf,PDFRenderingTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFRenderingTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.Tika; org.apache.tika.metadata.Metadata; org.apache.tika.parser.pdf.PDFParserConfig; org.apache.tika.parser.pdf.PDFParser,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PDFBOX_LOG_LEVEL (80),/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 23,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,Law of Demeter violation,The tool detected the smell in this method (testAnnotations) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.parser.pdf.PDFParser.getPDFParserConfig; org.apache.tika.parser.pdf.PDFParserConfig.setExtractAnnotationText,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,Law of Demeter violation,The tool detected the smell in this method (testDisableAutoSpace) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.parser.pdf.PDFParser.getPDFParserConfig; org.apache.tika.parser.pdf.PDFParserConfig.setEnableAutoSpace,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,Law of Demeter violation,The tool detected the smell in this method (testDisableAutoSpace) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.parser.pdf.PDFParser.getPDFParserConfig; org.apache.tika.parser.pdf.PDFParserConfig.setEnableAutoSpace,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,Law of Demeter violation,The tool detected the smell in this method (testDuplicateOverlappingText) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.parser.pdf.PDFParser.getPDFParserConfig; org.apache.tika.parser.pdf.PDFParserConfig.setSuppressDuplicateOverlappingText,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
