Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
tika,org.apache.tika.example,DumpTikaConfigExampleTest,1,0,3,3,39,7,0,0,0.0,0,7,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/DumpTikaConfigExampleTest.java,43
tika,org.apache.tika.example,TranslatorExampleTest,1,0,2,2,14,3,0,0,0.0,0,1,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/TranslatorExampleTest.java,26
tika,org.apache.tika.example,LanguageDetectorExampleTest,1,0,2,2,10,2,0,0,0.0,0,1,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/LanguageDetectorExampleTest.java,26
tika,org.apache.tika.example,ContentHandlerExampleTest,1,0,6,6,53,7,0,0,0.0,0,2,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/ContentHandlerExampleTest.java,33
tika,org.apache.tika.example,TextStatsFromTikaEvalTest,0,0,1,1,7,1,0,0,-1.0,0,1,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/TextStatsFromTikaEvalTest.java,23
tika,org.apache.tika.example,SimpleTypeDetectorTest,0,0,1,1,10,1,0,0,-1.0,0,1,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/SimpleTypeDetectorTest.java,28
tika,org.apache.tika.example,AdvancedTypeDetectorTest,0,0,1,1,5,1,0,0,-1.0,0,1,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/AdvancedTypeDetectorTest.java,24
tika,org.apache.tika.example,TestParsingExample,1,0,7,7,41,7,0,0,0.0,0,4,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/TestParsingExample.java,35
tika,org.apache.tika.example,SimpleTextExtractorTest,0,0,1,1,14,1,0,0,-1.0,0,1,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/SimpleTextExtractorTest.java,33
tika,org.apache.tika.example,ExtractEmbeddedFilesTest,2,0,3,3,20,4,0,0,0.0,0,1,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/ExtractEmbeddedFilesTest.java,31
tika,org.apache.tika.example,TextStatsFromTikaEval,0,0,1,1,18,1,0,0,-1.0,1,2,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/TextStatsFromTikaEval.java,29
tika,org.apache.tika.example,ParsingExample,0,0,7,7,111,8,0,0,-1.0,2,15,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/ParsingExample.java,46
tika,org.apache.tika.example,TrecDocumentGenerator,3,0,1,1,59,1,0,0,0.0,0,4,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/TrecDocumentGenerator.java,30
tika,org.apache.tika.example,TrecDocumentGenerator.TrecDocument,3,0,0,0,48,0,0,0,-1.0,0,0,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/TrecDocumentGenerator.java,49
tika,org.apache.tika.example,InterruptableParsingExample,3,0,1,1,43,1,0,0,0.0,0,3,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/InterruptableParsingExample.java,35
tika,org.apache.tika.example,InterruptableParsingExample.QueryMatchedException,0,0,0,0,2,0,0,0,-1.0,0,0,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/InterruptableParsingExample.java,67
tika,org.apache.tika.example,InterruptableParsingExample.InterruptingContentHandler,2,0,0,0,19,0,0,0,-1.0,0,0,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/InterruptableParsingExample.java,70
tika,org.apache.tika.example,ImportContextImpl,8,0,15,14,155,24,0,0,0.0,0,4,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/ImportContextImpl.java,40
tika,org.apache.tika.example,PrescriptionParser,1,0,2,1,12,2,0,2,1.0,0,4,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/PrescriptionParser.java,31
tika,org.apache.tika.example,SpringExample,0,0,1,1,7,1,0,0,-1.0,0,1,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/SpringExample.java,32
tika,org.apache.tika.example,LuceneIndexerExtended,2,0,3,3,25,4,0,0,0.0,0,2,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/LuceneIndexerExtended.java,33
tika,org.apache.tika.example,PickBestTextEncodingParser,7,0,6,3,110,13,0,2,0.5,0,6,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/PickBestTextEncodingParser.java,43
tika,org.apache.tika.example,PickBestTextEncodingParser.CharsetContentHandlerFactory,2,0,0,0,14,0,0,1,-1.0,0,0,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/PickBestTextEncodingParser.java,153
tika,org.apache.tika.example,PickBestTextEncodingParser.CharsetTester,3,0,0,0,30,0,0,0,-1.0,0,0,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/PickBestTextEncodingParser.java,174
tika,org.apache.tika.example,DumpTikaConfigExample,0,0,1,1,56,9,0,0,-1.0,1,2,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/DumpTikaConfigExample.java,31
