project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,4,1.0,false,0,1,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.async,async,0,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,18,0.9615384615384616,false,490,7,9.214104896498397E-4,0,PACKAGE,.,.,org.apache.tika.async.cli,cli,6,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,8,1.0,false,173,4,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.parser.audio,audio,15,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,8,2,0.17647058823529413,false,272,3,0.001493652605168711,0,PACKAGE,.,.,org.apache.tika.client,client,16413,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,1,0.3333333333333333,false,59,2,0.0010156162771962835,0,PACKAGE,.,.,org.apache.tika.parser.geo.topic.gazetteer,gazetteer,28703,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,11,1.0,false,226,4,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.parser.microsoft.libpst,libpst,8231,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,3,0.8571428571428571,false,148,1,9.42237999279731E-4,0,PACKAGE,.,.,org.apache.tika.parser.mp4.boxes,boxes,20525,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,1,1.0,false,13,1,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.pipes.fetcher.fs.config,config,12343,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.10526315789473684,false,PACKAGE,1,14,0.972972972972973,false,1143,19,8.947849376492485E-4,0,PACKAGE,.,.,org.apache.tika.parser.pkg,pkg,16447,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,10,0.875,false,194,4,9.140551572416574E-4,0,PACKAGE,.,.,org.apache.tika.pipes.iterator.fs,fs,28736,container
