,,versionIndex,versionDate,project,versionId,from,fromId,to,toId
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101013,affects,cyclicDep,101009,org.apache.tika.config.loader,27547
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101012,affects,cyclicDep,101009,org.apache.tika.config,23922
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101014,affects,cyclicDep,101009,org.apache.tika,15836
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101025,affects,cyclicDep,101022,org.apache.tika.detect,12804
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101027,affects,cyclicDep,101022,org.apache.tika.config.loader,27547
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101026,affects,cyclicDep,101022,org.apache.tika.config,23922
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101028,affects,cyclicDep,101022,org.apache.tika,15836
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101047,affects,cyclicDep,101043,org.apache.tika.detect.microsoft.ooxml,7852
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101046,affects,cyclicDep,101043,org.apache.tika.detect.zip,889
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101049,affects,cyclicDep,101043,org.apache.tika.config,23922
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101048,affects,cyclicDep,101043,org.apache.tika.detect,12804
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101051,affects,cyclicDep,101043,org.apache.tika,15836
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101050,affects,cyclicDep,101043,org.apache.tika.config.loader,27547
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101057,affects,cyclicDep,101053,org.apache.tika.detect.microsoft.ooxml,7852
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101056,affects,cyclicDep,101053,org.apache.tika.detect.zip,889
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101059,affects,cyclicDep,101053,org.apache.tika.config,23922
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101058,affects,cyclicDep,101053,org.apache.tika.detect,12804
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101065,affects,cyclicDep,101061,org.apache.tika.detect.microsoft.ooxml,7852
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101064,affects,cyclicDep,101061,org.apache.tika.detect.zip,889
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101066,affects,cyclicDep,101061,org.apache.tika.detect,12804
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101071,affects,cyclicDep,101068,org.apache.tika.metadata,22184
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101073,affects,cyclicDep,101068,org.apache.tika.detect.zip,889
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101072,affects,cyclicDep,101068,org.apache.tika.io,23890
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101075,affects,cyclicDep,101068,org.apache.tika.detect,12804
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101074,affects,cyclicDep,101068,org.apache.tika.detect.microsoft.ooxml,7852
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101077,affects,cyclicDep,101068,org.apache.tika.config.loader,27547
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101076,affects,cyclicDep,101068,org.apache.tika.config,23922
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101078,affects,cyclicDep,101068,org.apache.tika,15836
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101083,affects,cyclicDep,101080,org.apache.tika.metadata,22184
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101085,affects,cyclicDep,101080,org.apache.tika.detect.zip,889
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,101084,affects,cyclicDep,101080,org.apache.tika.io,23890
