Project,Test_Module,Class_Name,Status,Instructions_Covered,Instructions_Missed
tika,tika-plugins-core,org.apache.tika.plugins.TikaPluginManager$1,Uncovered,0,3
tika,tika-plugins-core,org.apache.tika.plugins.ExtensionConfig,Covered,12,0
tika,tika-plugins-core,org.apache.tika.plugins.PluginComponentLoader,Covered,292,28
tika,tika-plugins-core,org.apache.tika.plugins.AbstractTikaExtension,Uncovered,0,9
tika,tika-plugins-core,org.apache.tika.plugins.ThreadSafeUnzipper,Uncovered,0,212
tika,tika-plugins-core,org.apache.tika.plugins.TikaExtensionFactory,Uncovered,0,0
tika,tika-plugins-core,org.apache.tika.plugins.TikaPluginManager,Covered,148,201
tika,tika-plugins-core,org.apache.tika.plugins.TikaExtension,Uncovered,0,0
tika,tika-plugins-core,org.apache.tika.plugins.TikaPluginManager$3,Covered,7,6
tika,tika-plugins-core,org.apache.tika.plugins.TikaPluginManager$2,Uncovered,0,3
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.OCRPageCounter,Covered,13,0
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDFDOMUtil,Covered,131,4
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDMetadataExtractor,Covered,983,135
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDFParserConfig,Covered,362,71
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.OcrConfig$ImageFormat,Covered,26,0
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDFParserConfig$IMAGE_STRATEGY,Covered,27,0
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.OCR2XHTML,Uncovered,0,84
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDF2XHTML,Covered,178,185
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.XFAExtractor,Covered,383,130
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDFParser$TikaAcroFormFixup,Covered,11,0
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.OcrConfig$Strategy,Covered,27,0
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.OcrConfig$StrategyAuto,Covered,28,52
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDFMarkedContent2XHTML,Covered,884,104
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDFMarkedContent2XHTML$ObjectRef,Covered,52,11
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.AbstractPDF2XHTML,Covered,1733,1389
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.OcrConfig$ImageType,Covered,28,0
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDFParser,Covered,1093,574
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDFMarkedContent2XHTML$State,Covered,25,0
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.OcrConfig$RenderingStrategy,Covered,27,0
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDFEncodedStringDecoder,Covered,85,4
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.OcrConfig,Covered,58,15
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDF2XHTML$AngleCollector,Covered,43,0
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDFEncodedStringDecoder$COSStringParser,Covered,12,4
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDF2XHTML$1,Covered,4,2
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.OCR2XHTML$1,Uncovered,0,6
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDFMarkedContent2XHTML$1,Covered,4,2
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.XFAExtractor$XFAField,Covered,12,10
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDFParserConfig$AccessCheckMode,Covered,21,0
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.AbstractPDF2XHTML$ActionTrigger,Covered,153,0
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDFMarkedContent2XHTML$HtmlTag,Covered,35,38
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDF2XHTML$AngleDetectingPDF2XHTML,Covered,124,13
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.PDFMarkedContent2XHTML$MCID,Covered,51,12
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.AbstractPDF2XHTML$NameSpecTuple,Covered,12,3
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.xmpschemas.XMPSchemaPDFUA,Covered,11,6
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.xmpschemas.XMPSchemaIllustrator,Covered,16,6
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.xmpschemas.XMPSchemaPDFX,Covered,17,6
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.xmpschemas.XMPSchemaPDFXId,Covered,11,6
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.xmpschemas.XMPSchemaPDFVT,Covered,17,6
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.image.ImageGraphicsEngineFactory,Covered,16,0
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.image.ImageGraphicsEngine,Covered,542,217
tika,tika-parser-pdf-module,org.apache.tika.renderer.pdf.mutool.MuPDFRenderer$1,Uncovered,0,13
tika,tika-parser-pdf-module,org.apache.tika.renderer.pdf.mutool.MuPDFRenderer,Uncovered,0,260
tika,tika-parser-pdf-module,org.apache.tika.renderer.pdf.pdfbox.NoTextPDFRenderer$NoTextPageDrawer,Uncovered,0,8
tika,tika-parser-pdf-module,org.apache.tika.renderer.pdf.pdfbox.TextOnlyPDFRenderer,Uncovered,0,15
tika,tika-parser-pdf-module,org.apache.tika.renderer.pdf.pdfbox.PDFRenderingState,Covered,9,7
tika,tika-parser-pdf-module,org.apache.tika.renderer.pdf.pdfbox.VectorGraphicsOnlyPDFRenderer$VectorGraphicsOnlyDrawer,Uncovered,0,17
tika,tika-parser-pdf-module,org.apache.tika.renderer.pdf.pdfbox.PDFBoxRenderer,Covered,41,302
tika,tika-parser-pdf-module,org.apache.tika.renderer.pdf.pdfbox.TextOnlyPDFRenderer$TextOnlyPageDrawer,Uncovered,0,16
tika,tika-parser-pdf-module,org.apache.tika.renderer.pdf.pdfbox.VectorGraphicsOnlyPDFRenderer,Uncovered,0,15
tika,tika-parser-pdf-module,org.apache.tika.renderer.pdf.pdfbox.NoTextPDFRenderer,Uncovered,0,15
tika,tika-parser-pdf-module,org.apache.tika.renderer.pdf.pdfbox.PDDocumentRenderer,Uncovered,0,0
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.updates.IsIncrementalUpdate,Covered,8,0
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.updates.IncrementalUpdateRecord,Covered,15,0
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.updates.StartXRefOffset,Covered,21,16
tika,tika-parser-pdf-module,org.apache.tika.parser.pdf.updates.StartXRefScanner,Covered,416,28
tika,tika-parser-news-module,org.apache.tika.parser.iptc.IptcAnpaParser,Covered,53,1876
tika,tika-parser-news-module,org.apache.tika.parser.feed.FeedParser,Covered,169,13
