Test_Module,Test_Class,Depends_On_Class,Type
tika-example,DumpTikaConfigExampleTest.java,java.io.IOException,Static Dependency
tika-example,DumpTikaConfigExampleTest.java,org.junit.jupiter.api.Disabled,Static Dependency
tika-example,DumpTikaConfigExampleTest.java,org.junit.jupiter.api.BeforeEach,Static Dependency
tika-example,DumpTikaConfigExampleTest.java,org.junit.jupiter.api.AfterEach,Static Dependency
tika-example,DumpTikaConfigExampleTest.java,java.io.File,Static Dependency
tika-example,DumpTikaConfigExampleTest.java,java.nio.file.Files,Static Dependency
tika-example,TranslatorExampleTest.java,org.junit.jupiter.api.Test,Static Dependency
tika-example,TranslatorExampleTest.java,org.junit.jupiter.api.BeforeEach,Static Dependency
tika-example,TranslatorExampleTest.java,java.util.Locale,Static Dependency
tika-example,LanguageDetectorExampleTest.java,org.junit.jupiter.api.Test,Static Dependency
tika-example,LanguageDetectorExampleTest.java,java.io.IOException,Static Dependency
tika-example,LanguageDetectorExampleTest.java,org.junit.jupiter.api.BeforeEach,Static Dependency
tika-example,ContentHandlerExampleTest.java,org.junit.jupiter.api.Test,Static Dependency
tika-example,ContentHandlerExampleTest.java,java.io.IOException,Static Dependency
tika-example,ContentHandlerExampleTest.java,java.util.List,Static Dependency
tika-example,ContentHandlerExampleTest.java,org.junit.jupiter.api.BeforeEach,Static Dependency
tika-example,ContentHandlerExampleTest.java,org.xml.sax.SAXException,Static Dependency
tika-example,ContentHandlerExampleTest.java,org.apache.tika.exception.TikaException,Static Dependency
tika-example,TextStatsFromTikaEvalTest.java,org.junit.jupiter.api.Test,Static Dependency
tika-example,SimpleTypeDetectorTest.java,org.junit.jupiter.api.Test,Static Dependency
tika-example,SimpleTypeDetectorTest.java,java.io.PrintStream,Static Dependency
tika-example,SimpleTypeDetectorTest.java,org.apache.tika.TikaTest,Static Dependency
tika-example,SimpleTypeDetectorTest.java,java.io.ByteArrayOutputStream,Static Dependency
tika-example,AdvancedTypeDetectorTest.java,org.junit.jupiter.api.Test,Static Dependency
tika-example,TestParsingExample.java,org.junit.jupiter.api.Test,Static Dependency
tika-example,TestParsingExample.java,java.io.IOException,Static Dependency
tika-example,TestParsingExample.java,java.util.List,Static Dependency
tika-example,TestParsingExample.java,org.apache.tika.TikaTest,Static Dependency
tika-example,TestParsingExample.java,org.junit.jupiter.api.BeforeEach,Static Dependency
tika-example,TestParsingExample.java,org.apache.tika.metadata.Metadata,Static Dependency
tika-example,TestParsingExample.java,org.xml.sax.SAXException,Static Dependency
tika-example,TestParsingExample.java,org.apache.tika.serialization.JsonMetadataList,Static Dependency
tika-example,TestParsingExample.java,java.io.StringReader,Static Dependency
tika-example,TestParsingExample.java,org.apache.tika.exception.TikaException,Static Dependency
tika-example,SimpleTextExtractorTest.java,org.junit.jupiter.api.Test,Static Dependency
tika-example,SimpleTextExtractorTest.java,org.apache.tika.TikaTest,Static Dependency
tika-example,SimpleTextExtractorTest.java,org.junit.jupiter.api.parallel.Isolated,Static Dependency
tika-example,SimpleTextExtractorTest.java,java.io.ByteArrayOutputStream,Static Dependency
tika-example,SimpleTextExtractorTest.java,java.io.PrintStream,Static Dependency
tika-example,SimpleTextExtractorTest.java,java.io.File,Static Dependency
tika-example,SimpleTextExtractorTest.java,org.apache.commons.io.FileUtils,Static Dependency
tika-example,ExtractEmbeddedFilesTest.java,org.junit.jupiter.api.Test,Static Dependency
tika-example,ExtractEmbeddedFilesTest.java,java.io.IOException,Static Dependency
tika-example,ExtractEmbeddedFilesTest.java,java.util.List,Static Dependency
tika-example,ExtractEmbeddedFilesTest.java,java.nio.file.DirectoryStream,Static Dependency
tika-example,ExtractEmbeddedFilesTest.java,java.nio.file.Path,Static Dependency
tika-example,ExtractEmbeddedFilesTest.java,org.junit.jupiter.api.BeforeEach,Static Dependency
tika-example,ExtractEmbeddedFilesTest.java,org.junit.jupiter.api.AfterEach,Static Dependency
tika-example,ExtractEmbeddedFilesTest.java,java.nio.file.Files,Static Dependency
tika-plugins-core,PluginComponentLoaderTest.java,org.junit.jupiter.api.Test,Static Dependency
tika-plugins-core,PluginComponentLoaderTest.java,java.util.List,Static Dependency
tika-plugins-core,PluginComponentLoaderTest.java,java.util.Map,Static Dependency
tika-plugins-core,PluginComponentLoaderTest.java,java.util.Arrays,Static Dependency
tika-plugins-core,PluginComponentLoaderTest.java,org.junit.jupiter.api.BeforeEach,Static Dependency
tika-plugins-core,PluginComponentLoaderTest.java,org.pf4j.PluginManager,Static Dependency
tika-plugins-core,PluginComponentLoaderTest.java,org.apache.tika.exception.TikaConfigException,Static Dependency
tika-plugins-core,PluginComponentLoaderTest.java,com.fasterxml.jackson.databind.JsonNode,Static Dependency
tika-plugins-core,PluginComponentLoaderTest.java,java.util.Optional,Static Dependency
tika-plugins-core,PluginComponentLoaderTest.java,com.fasterxml.jackson.databind.ObjectMapper,Static Dependency
tika-plugins-core,TikaPluginManagerTest.java,org.junit.jupiter.api.Test,Static Dependency
tika-plugins-core,TikaPluginManagerTest.java,java.nio.file.Path,Static Dependency
tika-plugins-core,TikaPluginManagerTest.java,org.junit.jupiter.api.io.TempDir,Static Dependency
tika-plugins-core,TikaPluginManagerTest.java,java.util.Collections,Static Dependency
tika-plugins-core,TikaPluginManagerTest.java,org.pf4j.RuntimeMode,Static Dependency
tika-parsers,PDFRenderingTest.java,org.junit.jupiter.api.Test,Static Dependency
tika-parsers,PDFRenderingTest.java,org.apache.tika.TikaTest,Static Dependency
tika-parsers,PDFRenderingTest.java,java.util.List,Static Dependency
